Searching for any hub with Pybricks service...
battery mV: 7429
slide probe: 2s still / 8s slide / 2s still per rep, 2 reps
D,i,pitch_x100,rate_x10,acc_mm_s2
D , 557 , -85 , 91 , -880
D , 558 , -77 , 63 , 11
D , 559 , -73 , 40 , -919
D , 560 , -67 , 76 , -890
D , 561 , -61 , 36 , 356
D , 562 , -61 , -10 , -392
D , 563 , -60 , 35 , -897
D , 564 , -57 , 13 , 275
D , 565 , -60 , -43 , -50
D , 566 , -62 , 0 , -1235
D , 567 , -62 , -15 , 239
D , 568 , -67 , -70 , 193
D , 569 , -73 , -34 , -753
D , 570 , -78 , -43 , -117
D , 571 , -83 , -57 , -303
D , 572 , -86 , -4 , -378
D , 573 , -86 , -2 , 50
D , 574 , -88 , -34 , -19
D , 575 , -90 , 2 , -354
D , 576 , -89 , 5 , -452
D , 577 , -89 , -8 , -189
D , 578 , -88 , 26 , 9
D , 579 , -83 , 40 , 74
D , 580 , -80 , 30 , 344
D , 581 , -79 , 11 , 186
D , 582 , -77 , 36 , 203
D , 583 , -74 , 30 , -76
D , 584 , -71 , 26 , 380
D , 585 , -68 , 38 , 694
D , 586 , -64 , 52 , 756
D , 587 , -59 , 44 , 694
D , 588 , -55 , 43 , 856
D , 589 , -50 , 50 , 986
D , 590 , -45 , 52 , 1132
D , 591 , -39 , 60 , 1168
D , 592 , -33 , 57 , 1206
D , 593 , -27 , 63 , 1122
D , 594 , -20 , 84 , 1326
D , 595 , -11 , 89 , 1429
D , 596 , -3 , 63 , 1558
D , 597 , 0 , 8 , 1385
D , 598 , -2 , -25 , 1136
D , 599 , -5 , -52 , 1115
D , 600 , -13 , -78 , 849
D , 601 , -21 , -78 , 978
D , 602 , -35 , -174 , 1215
D , 603 , -57 , -256 , 734
D , 604 , -82 , -258 , -21
D , 605 , -108 , -275 , 7
D , 606 , -137 , -313 , 0
D , 607 , -174 , -348 , -540
D , 608 , -205 , -274 , -1452
D , 609 , -221 , -76 , -1914
D , 610 , -218 , 112 , -1218
D , 611 , -200 , 215 , -397
D , 612 , -174 , 250 , 234
D , 613 , -149 , 239 , 289
